step	role	source_path	file_name	file_ext	size_bytes	sha256	release_path
code	analysis_script	/mnt/h/vir/ST/29_plot_figure6_regulator_communication_panels.py	29_plot_figure6_regulator_communication_panels.py	.py	27997	6a854e7d8ff52402d7d897d8597c89dfea0d104ed3a1aa98f683ca753aa94bfe	github_repo_skeleton/scripts/29_plot_figure6_regulator_communication_panels.py
code	analysis_script	/mnt/h/vir/ST/29b_plot_fig6B_cell_cell_communication_network.py	29b_plot_fig6B_cell_cell_communication_network.py	.py	22366	135cc88c121d81c3884059431642bd15c8643901dd6e180c6aced13df33c892e	github_repo_skeleton/scripts/29b_plot_fig6B_cell_cell_communication_network.py
code	analysis_script	/mnt/h/vir/ST/30_plot_fig6B_cell_cell_communication_network_nature.py	30_plot_fig6B_cell_cell_communication_network_nature.py	.py	14132	e5dadc668eabbd8e9ae8ef996f27cce5ffd53104d160695f6bbb3b3c34a85f36	github_repo_skeleton/scripts/30_plot_fig6B_cell_cell_communication_network_nature.py
code	analysis_script	/mnt/h/vir/ST/31_plot_fig6B_polished_main_and_extended.py	31_plot_fig6B_polished_main_and_extended.py	.py	15509	9fba9343bfc18923029f75134da651a9be5f1cbb30e0c78e560d8dedd31b992d	github_repo_skeleton/scripts/31_plot_fig6B_polished_main_and_extended.py
code	analysis_script	/mnt/h/vir/ST/32_plot_fig6B_main_text_final_no_overlap.py	32_plot_fig6B_main_text_final_no_overlap.py	.py	15765	97bb95774b242e2951cc6e5f902529473c79af5192a84ddf9673cab5ff2649e3	github_repo_skeleton/scripts/32_plot_fig6B_main_text_final_no_overlap.py
code	analysis_script	/mnt/h/vir/ST/33_plot_fig6CDEF_revised.py	33_plot_fig6CDEF_revised.py	.py	22068	ab141cd7fbc3b14b10c87831b9070a64a84851c6308b98a9fe2af342fec2ce6f	github_repo_skeleton/scripts/33_plot_fig6CDEF_revised.py
code	analysis_script	/mnt/h/vir/ST/34_plot_fig6CDEF_revised_final.py	34_plot_fig6CDEF_revised_final.py	.py	23401	6da82001b75d8adfdb5caca3ea961d665461b1ea055dfeefa735090bea676b7d	github_repo_skeleton/scripts/34_plot_fig6CDEF_revised_final.py
code	analysis_script	/mnt/h/vir/ST/35_plot_fig6A_E_polished_final.py	35_plot_fig6A_E_polished_final.py	.py	15263	ec7138436682cb4f98ea09f73acd728aa18b0fc4ebbc794ef11949cf716279e5	github_repo_skeleton/scripts/35_plot_fig6A_E_polished_final.py
code	analysis_script	/mnt/h/vir/ST/36_prepare_strokeniche_perturb_inputs.py	36_prepare_strokeniche_perturb_inputs.py	.py	30160	ba374bf11c8c287743b7e40f86c278b840718a61ef0af44df3fc961e3f1d60c4	github_repo_skeleton/scripts/36_prepare_strokeniche_perturb_inputs.py
code	analysis_script	/mnt/h/vir/ST/37_train_strokeniche_perturb_adapter.py	37_train_strokeniche_perturb_adapter.py	.py	40414	c9d7cf5c3a15cd84134ab135a1267d809d6b87c6294f3dadf207d254f3206891	github_repo_skeleton/scripts/37_train_strokeniche_perturb_adapter.py
